Account,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago
@BBCWorld,-0.765,Thu Sep 27 21:30:21 +0000 2018,0.548,0.452,0.0,Brett Kavanaugh denies Christine Blasey Ford sex assault claim https://t.co/i0EILgHDdO,1
@BBCWorld,0.6124,Thu Sep 27 21:02:24 +0000 2018,0.53,0.152,0.318,"""This is not a job interview, this is hell"" - Senator Lindsey Graham offers strong support to US Supreme Court nomi… https://t.co/gl2TG2WICz",2
@BBCWorld,-0.5859,Thu Sep 27 20:52:01 +0000 2018,0.758,0.242,0.0,"Tense exchanges as Brett Kavanaugh faces questions in front of Senate Judiciary Committee, after denying allegation… https://t.co/2CyGyZxKsb",3
@BBCWorld,-0.5859,Thu Sep 27 20:30:11 +0000 2018,0.647,0.259,0.095,RT @BBCBreaking: Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,4
@BBCWorld,-0.5859,Thu Sep 27 20:28:18 +0000 2018,0.703,0.297,0.0,RT @BBCBusiness: US regulator alleges Elon Musk Tesla fraud https://t.co/8NBCt4Xfl1,5
@BBCWorld,0.5994,Thu Sep 27 20:00:52 +0000 2018,0.795,0.0,0.205,"US Supreme Court nominee Brett Kavanaugh asks to be judged by standard people would want applied to ""your father, y… https://t.co/sj9t6mBV9p",6
@BBCWorld,0.9325,Thu Sep 27 19:51:51 +0000 2018,0.548,0.0,0.452,"""Those are some awesome women and I love all of them""

Brett Kavanaugh praises women who have supported him since a… https://t.co/Cv7KsNafJa",7
@BBCWorld,0.0,Thu Sep 27 19:44:16 +0000 2018,1.0,0.0,0.0,#KavanaughHearings latest: https://t.co/aWkMrEnAg6 https://t.co/jJTSzVcpsd,8
@BBCWorld,0.5859,Thu Sep 27 19:32:48 +0000 2018,0.769,0.0,0.231,"""I am innocent of this charge"": Brett Kavanaugh breaks down while giving testimony at Senate Judiciary Committee… https://t.co/CynWHbeMNK",9
@BBCWorld,0.0352,Thu Sep 27 19:18:58 +0000 2018,0.739,0.128,0.133,"RT @BBCBreaking: ""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reacts to s…",10
@BBCWorld,-0.8402,Thu Sep 27 19:18:33 +0000 2018,0.6,0.4,0.0,"RT @BBCJonSopel: #JudgeKavanaugh is coming out swinging. He sounds aggressive and angry, as he emphatically denies the accusations against…",11
@BBCWorld,0.647,Thu Sep 27 18:55:27 +0000 2018,0.763,0.0,0.237,"""I think her testimony overall has been very powerful and very compelling"" - Senator Chris Coons, speaking after Ch… https://t.co/A3dUGjXvTN",12
@BBCWorld,-0.8934,Thu Sep 27 18:36:15 +0000 2018,0.318,0.682,0.0,Netherlands police arrests foil 'major terrorist attack' https://t.co/owGOs2VL1G,13
@BBCWorld,0.34,Thu Sep 27 18:35:44 +0000 2018,0.811,0.063,0.126,"""A nice lady who has come forward to tell a hard story that's uncorroborated"" - Senator Lindsey Graham reacts to Ch… https://t.co/cXhw9WAokH",14
@BBCWorld,0.5574,Thu Sep 27 18:21:32 +0000 2018,0.847,0.0,0.153,Women on both sides of the debate about Supreme Court nominee Brett Kavanaugh speak to us outside the US Senate… https://t.co/KwCJ0N1K4Y,15
@BBCWorld,0.0,Thu Sep 27 18:20:21 +0000 2018,1.0,0.0,0.0,Brett Kavanaugh and Christine Blasey Ford hearing: Key takeaways so far https://t.co/3kCucL56wn,16
@BBCWorld,-0.5267,Thu Sep 27 18:19:37 +0000 2018,0.784,0.216,0.0,"RT @BBCJonSopel: Extraordinary end to questioning of #ChristinaBlaseyFord by Rachel Mitchell - the prosecutor arguing, in essence, what a t…",17
@BBCWorld,0.0,Thu Sep 27 17:44:41 +0000 2018,1.0,0.0,0.0,Kavanaugh hearing: #BelieveWomen v #BackBrett https://t.co/OrCUuXXWgH,18
@BBCWorld,-0.6908,Thu Sep 27 17:34:01 +0000 2018,0.81,0.19,0.0,"""I believed he was going to rape me""

Christine Blasey Ford tells Senate Judiciary Committee about the night of her… https://t.co/DJLkX58cnB",19
@BBCWorld,0.0772,Thu Sep 27 17:23:57 +0000 2018,0.936,0.0,0.064,RT @BBCNorthAmerica: Are you watching the #KavanaughHearings? We want to know where you're watching and hear your thoughts. Comment below👇…,20
@BBCWorld,-0.6908,Thu Sep 27 17:06:19 +0000 2018,0.701,0.299,0.0,Infanticide in Kenya: 'I was told to kill my disabled baby' https://t.co/QZa9gcAcOS,21
@BBCWorld,-0.8402,Thu Sep 27 17:06:17 +0000 2018,0.357,0.643,0.0,Gay Zimbabwe teacher resigns after death threats https://t.co/DP3NjcHGPH,22
@BBCWorld,-0.5859,Thu Sep 27 16:55:51 +0000 2018,0.817,0.183,0.0,"Christine Blasey Ford tells Senate Judiciary Committee she took a polygraph test about the alleged sexual assault ""… https://t.co/bYaa8LIj7h",23
@BBCWorld,-0.5994,Thu Sep 27 16:34:42 +0000 2018,0.642,0.358,0.0,Zimbabwe elephant tramples German tourist to death https://t.co/D9zU4pN5a1,24
@BBCWorld,0.5994,Thu Sep 27 16:20:17 +0000 2018,0.766,0.0,0.234,"""The uproarious laughter, and the multiple attempts to escape""

Christine Blasey Ford tells the Senate Judiciary Co… https://t.co/wmPabsvG8S",25
@BBCWorld,0.0,Thu Sep 27 16:05:59 +0000 2018,1.0,0.0,0.0,"#KavanaughHearings: Follow live updates from the Senate Judiciary Committee hearing here

https://t.co/lKI0O1PScv https://t.co/ZZFle35Xno",26
@BBCWorld,0.0,Thu Sep 27 15:46:14 +0000 2018,1.0,0.0,0.0,Pakistan auctions off ex-PM Nawaz Sharif's buffaloes https://t.co/h82ACOnxQZ,27
@BBCWorld,-0.2617,Thu Sep 27 15:36:37 +0000 2018,0.845,0.155,0.0,"RT @awzurcher: The disjointed nature of the questioning makes it hard for this portion of the hearing to have any flow, but Ford talking ab…",28
@BBCWorld,-0.3182,Thu Sep 27 15:30:22 +0000 2018,0.744,0.158,0.098,"Christine Blasey Ford ""100%"" certain Brett Kavanaugh assaulted her, as she gives testimony at Senate Judiciary Comm… https://t.co/xYv9luS26n",29
@BBCWorld,-0.6597,Thu Sep 27 15:23:16 +0000 2018,0.672,0.328,0.0,Jo Cox: Brussels square named after murdered UK MP https://t.co/21jx4DFKRM,30
@BBCWorld,0.7579,Thu Sep 27 15:20:48 +0000 2018,0.723,0.0,0.277,"""They were laughing with each other... having fun at my expense"" - Christine Blasey Ford gives testimony at Senate… https://t.co/XSanE8GfRS",31
@BBCWorld,-0.8807,Thu Sep 27 15:09:09 +0000 2018,0.638,0.362,0.0,"""My family and I have been the target of constant harassment and death threats and I have been called the most vile… https://t.co/jp3O7dklRt",32
@BBCWorld,0.7169,Thu Sep 27 15:07:17 +0000 2018,0.8,0.0,0.2,"RT @PhilippaBBC: ""How are you so sure that it was he?"" Democrat Feinstein asks. ""As sure as I am now that I'm talking to you"" replies Chris…",33
@BBCWorld,0.0,Thu Sep 27 15:02:04 +0000 2018,1.0,0.0,0.0,Boy with autism dresses as T.rex for family photos https://t.co/NLxjk3VGqm,34
@BBCWorld,0.4019,Thu Sep 27 15:00:53 +0000 2018,0.87,0.0,0.13,"""I have experienced an outpouring of support from people in every state of this country"" - Christine Blasey Ford… https://t.co/mJ6xzw3J7k",35
@BBCWorld,-0.1027,Thu Sep 27 14:57:42 +0000 2018,0.938,0.062,0.0,"RT @awzurcher: Now, Rachel Mitchell is questioning Christine Blasey Ford. She’s doing this at the behest of the Republicans on the committe…",36
@BBCWorld,0.0,Thu Sep 27 14:52:23 +0000 2018,1.0,0.0,0.0,"""I thought it was my civic duty to relay the information I had about Mr Kavanaugh's conduct"" - Christine Blasey For… https://t.co/KIGWNl3PrS",37
@BBCWorld,-0.5859,Thu Sep 27 14:45:24 +0000 2018,0.798,0.202,0.0,"""Brett's assault on me drastically altered my life for a very long time"" - Christine Blasey Ford… https://t.co/FQtneCtjxN",38
@BBCWorld,0.0,Thu Sep 27 14:40:49 +0000 2018,1.0,0.0,0.0,RT @awzurcher: Christine Blasey Ford released her opening statement yesterday evening. It’s one thing to read it. It’s another to hear it i…,39
@BBCWorld,-0.6395,Thu Sep 27 14:40:29 +0000 2018,0.821,0.179,0.0,"RT @BBCBreaking: ""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell you wha…",40
@BBCWorld,0.0,Thu Sep 27 14:25:32 +0000 2018,1.0,0.0,0.0,"Follow #KavanaughHearings latest

https://t.co/7KPZYQXVPh https://t.co/LKHJSdqnpX",41
@BBCWorld,0.0,Thu Sep 27 14:19:30 +0000 2018,1.0,0.0,0.0,"RT @awzurcher: Very telling that the chair of the committee, Republican Chuck Grassley, is spending much of his opening statement defending…",42
@BBCWorld,0.34,Thu Sep 27 14:12:42 +0000 2018,0.637,0.123,0.24,"RT @BBCJonSopel: Excellent start from @ChuckGrassley, apologising to both #JudgeKavanaugh and #ChristineBlaseyFord for the appalling 'vile…",43
@BBCWorld,0.0,Thu Sep 27 14:11:40 +0000 2018,1.0,0.0,0.0,"The #KavanaughHearings have begun, watch the latest developments

https://t.co/9rPl3Q44e4",44
@BBCWorld,0.0,Thu Sep 27 13:45:58 +0000 2018,1.0,0.0,0.0,"#KavanaughHearings

Follow live updates as US senators prepare to hear testimony from Christine Blasey Ford &amp; Brett… https://t.co/rPO6h7iZU6",45
@BBCWorld,0.0,Thu Sep 27 13:23:31 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: Germany will host Euro 2024.

LIVE👉https://t.co/bt2TAIkbep
#bbcfootball #Euro2024 https://t.co/tXSwtj7G7q",46
@BBCWorld,-0.296,Thu Sep 27 13:05:13 +0000 2018,0.864,0.136,0.0,China #MeToo: Why one woman is being sued by the TV star she accused https://t.co/znRIjKO1ch,47
@BBCWorld,0.4939,Thu Sep 27 12:35:32 +0000 2018,0.686,0.0,0.314,"Ethiopia's Meskel festival: Bonfires, robes and crosses https://t.co/c5WPJr25vM",48
@BBCWorld,-0.7783,Thu Sep 27 12:00:23 +0000 2018,0.507,0.493,0.0,Police chief stabbed to death in southern France https://t.co/f9PbGKaSEX,49
@BBCWorld,-0.5859,Thu Sep 27 11:23:19 +0000 2018,0.743,0.257,0.0,Brett Kavanaugh nomination: US senators to hear crucial sex assault testimony https://t.co/mSralP8AlZ,50
@BBCWorld,-0.3182,Thu Sep 27 11:22:45 +0000 2018,0.827,0.173,0.0,Argentina phone: Boy appeals for lost device with photos of mother https://t.co/2J1KwkKneU,51
@BBCWorld,0.0,Thu Sep 27 11:22:37 +0000 2018,1.0,0.0,0.0,Elton John and 'Mr Kurd': Five Trump briefing highlights https://t.co/qaEYDyftUw,52
@BBCWorld,0.0,Thu Sep 27 11:08:46 +0000 2018,1.0,0.0,0.0,"New asteroid #ryugu rover images released 

https://t.co/JZXliLl77h",53
@BBCWorld,-0.3182,Thu Sep 27 10:59:06 +0000 2018,0.777,0.223,0.0,Iran city mocked for billboard featuring Israeli soldiers https://t.co/8f3wMR5bty,54
@BBCWorld,-0.6705,Thu Sep 27 10:49:24 +0000 2018,0.593,0.407,0.0,Italy budget under pressure over plan to 'abolish poverty' https://t.co/xKCAmFyIGg,55
@BBCWorld,-0.5256,Thu Sep 27 10:37:26 +0000 2018,0.78,0.22,0.0,RT @bbcstories: This is the world's most dangerous city to be a woman. https://t.co/G3DxxhkBIG,56
@BBCWorld,0.5267,Thu Sep 27 10:29:47 +0000 2018,0.848,0.0,0.152,"RT @BBCSport: Uefa has confirmed that VAR will be used in the Champions League from next season
👉 https://t.co/9T2pCom39T 
 #UCL https://t.…",57
@BBCWorld,0.5267,Thu Sep 27 10:29:09 +0000 2018,0.861,0.0,0.139,"RT @richard_conway: UEFA announce video assistant referee (VAR) will be used in the Champions League from next season onwards.
Also plans t…",58
@BBCWorld,0.0,Thu Sep 27 10:15:21 +0000 2018,1.0,0.0,0.0,😮 https://t.co/3LN9lPXvqB,59
@BBCWorld,0.0,Thu Sep 27 10:13:39 +0000 2018,1.0,0.0,0.0,"Chile unveils Patagonian Route of Parks hiking trail ⛰️

https://t.co/FnxQ6uSsVJ",60
@BBCWorld,-0.6597,Thu Sep 27 10:12:32 +0000 2018,0.597,0.403,0.0,"Gaza's humanitarian situation worsens amid a lack of resources 

https://t.co/duHDjIocRe https://t.co/OSUvSmceYH",61
@BBCWorld,0.0,Thu Sep 27 10:08:53 +0000 2018,1.0,0.0,0.0,Gaelic football club sinkholes 'caused by mine work' https://t.co/lrbGne2j70,62
@BBCWorld,0.0,Thu Sep 27 09:35:25 +0000 2018,1.0,0.0,0.0,"RT @BBCNews: ""We've been swimming with turtles, we've done surfing, we've hiked mountains""

Rosie Charles was 16 when she had her daughter…",63
@BBCWorld,0.0,Thu Sep 27 09:15:05 +0000 2018,1.0,0.0,0.0,Why does Nigeria keep flooding? https://t.co/iewgqdy4Am,64
@BBCWorld,-0.5859,Thu Sep 27 08:39:17 +0000 2018,0.678,0.322,0.0,Kavanaugh accuser says alleged assault 'altered my life' https://t.co/JKiwBGWgPd,65
@BBCWorld,0.25,Thu Sep 27 07:16:44 +0000 2018,0.917,0.0,0.083,"RT @BBCSport: The US has the superstars, the young guns, the majors and the money. 

Europe has the outside chance.

Here's @tomfordyce's #…",66
@BBCWorld,0.25,Thu Sep 27 07:13:17 +0000 2018,0.872,0.047,0.081,RT @SallyBundockBBC: Are they trying too hard? Are you excited by VR or do you think those who have poured money in to it will be paying a…,67
@BBCWorld,0.296,Thu Sep 27 07:12:52 +0000 2018,0.905,0.0,0.095,RT @PhilippaBBC: A momentous day for US politics. I’ll be bringing you the #BrettKavanaugh hearings on ⁦@BBCWorld⁩ - do join us to hear for…,68
@BBCWorld,0.0,Thu Sep 27 07:12:46 +0000 2018,1.0,0.0,0.0,RT @marklowen: #Erdogan arrives in #Germany today for 1st state visit as President. Attempt to rebuild bridges after slamming German govt a…,69
@BBCWorld,-0.2263,Thu Sep 27 06:39:41 +0000 2018,0.853,0.147,0.0,Man stopped by police after running after plane at Dublin Airport https://t.co/UJcs188Z7h,70
@BBCWorld,-0.6908,Thu Sep 27 05:46:14 +0000 2018,0.467,0.533,0.0,Adultery no longer a crime in India https://t.co/TBYEcde5sz,71
@BBCWorld,0.4215,Thu Sep 27 05:35:24 +0000 2018,0.797,0.0,0.203,Abhilash Tomy: Rescued Indian speaks of ordeal in middle of ocean https://t.co/s2x9nhigFi,72
@BBCWorld,-0.7003,Thu Sep 27 04:09:05 +0000 2018,0.58,0.42,0.0,Venezuela crisis: Maduro willing to 'shake hands' with Trump https://t.co/7o2Dysx9ex,73
@BBCWorld,-0.3182,Thu Sep 27 02:15:30 +0000 2018,0.777,0.223,0.0,ABC chair resigns over Australian political interference claims https://t.co/DhWQQwBdVY,74
@BBCWorld,0.5574,Wed Sep 26 23:35:30 +0000 2018,0.69,0.0,0.31,Brett Kavanaugh: The supreme showdown for Trump's America https://t.co/eVvptJGZZk,75
@BBCWorld,-0.7184,Wed Sep 26 23:27:48 +0000 2018,0.538,0.462,0.0,On the trail of Uganda's illegal 'beauty-cream' smugglers https://t.co/vs5rjZHDZ1,76
@BBCWorld,-0.4767,Wed Sep 26 23:15:50 +0000 2018,0.594,0.406,0.0,Norway backs down in child protection scandal https://t.co/hu0KIgHXNk,77
@BBCWorld,0.0,Wed Sep 26 22:56:22 +0000 2018,1.0,0.0,0.0,Nafta: Donald Trump says US 'not getting along' with Canada https://t.co/a27tkq8b2e,78
@BBCWorld,0.5574,Wed Sep 26 22:11:19 +0000 2018,0.69,0.0,0.31,Brett Kavanaugh: Who are Supreme Court nominee's accusers? https://t.co/1SfEnqUHvP,79
@BBCWorld,0.0,Wed Sep 26 21:59:45 +0000 2018,1.0,0.0,0.0,Brett Kavanaugh: The nomination and the allegations in 300 words https://t.co/WvaSECQfJz,80
@BBCWorld,0.0,Wed Sep 26 21:57:22 +0000 2018,1.0,0.0,0.0,"Seal slaps man with octopus. Need we say more? 🐙

(Tap to expand) https://t.co/yxubaavOOh",81
@BBCWorld,-0.5423,Wed Sep 26 21:37:10 +0000 2018,0.844,0.156,0.0,"George Washington ""may have had a bad past... didn't he have a couple of things in his past?"" - Donald Trump questi… https://t.co/St7O44deQQ",82
@BBCWorld,0.1531,Wed Sep 26 21:23:09 +0000 2018,0.922,0.0,0.078,"""What does he mean by that?""

US President Donald Trump fires back after a male journalist suggests he invite a fem… https://t.co/IoxXn5rQ1P",83
@BBCWorld,0.0,Wed Sep 26 21:01:38 +0000 2018,1.0,0.0,0.0,"Child-killer's transfer to 'healing lodge' under review, says Canadian PM Justin Trudeau https://t.co/hJBDYJ0cPZ",84
@BBCWorld,-0.4019,Wed Sep 26 20:40:49 +0000 2018,0.748,0.252,0.0,Pussy Riot's Pyotr Verzilov blames Russia for 'poisoning' https://t.co/9cbHGKRU8t,85
@BBCWorld,-0.4767,Wed Sep 26 20:20:37 +0000 2018,0.744,0.256,0.0,Hang White People: French rap song suspended from YouTube https://t.co/EwdRuWRYMq,86
@BBCWorld,-0.5256,Wed Sep 26 19:56:14 +0000 2018,0.805,0.195,0.0,"Migrant crossings from Libya to Europe have become more dangerous

(Tap to expand)

https://t.co/zAKmhQrlsQ https://t.co/ecQPjilAqR",87
@BBCWorld,0.0,Wed Sep 26 18:02:11 +0000 2018,1.0,0.0,0.0,Bees in South African plane's engine delays flights https://t.co/JZWTXyAAiv,88
@BBCWorld,-0.5423,Wed Sep 26 17:36:51 +0000 2018,0.609,0.391,0.0,Canada woman loses snoring row complaint with neighbours https://t.co/Ogd9AiUD3R,89
@BBCWorld,0.7579,Wed Sep 26 17:33:35 +0000 2018,0.519,0.0,0.481,Trump: Two-state Middle East solution would work best https://t.co/oQBiG77bde,90
@BBCWorld,0.5574,Wed Sep 26 17:17:05 +0000 2018,0.69,0.0,0.31,Supreme Court nominee says new misconduct claim 'ridiculous' https://t.co/g8Mnk9rC1H,91
@BBCWorld,-0.5255,Wed Sep 26 17:16:37 +0000 2018,0.793,0.207,0.0,"Snack attack!

Rapper Lil Xan hospitalised after eating 'too many Hot Cheetos' https://t.co/DkQpU1N6yt https://t.co/2QQGLZZRHz",92
@BBCWorld,-0.7351,Wed Sep 26 16:35:13 +0000 2018,0.744,0.256,0.0,RT @BBCBreaking: The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.c…,93
@BBCWorld,0.4215,Wed Sep 26 16:27:06 +0000 2018,0.714,0.0,0.286,Danish policewoman investigated for hugging niqab-wearing protester https://t.co/5ZUm5xZz2n,94
@BBCWorld,0.0258,Wed Sep 26 16:12:50 +0000 2018,0.879,0.0,0.121,"Trump seeks UN backing for Iran nuclear sanctions
https://t.co/UYpSrj2Uvx",95
@BBCWorld,-0.3182,Wed Sep 26 16:00:42 +0000 2018,0.723,0.277,0.0,Trugo: A bizarre sport unique to Melbourne https://t.co/VV3TTl6pRE,96
@BBCWorld,-0.296,Wed Sep 26 15:56:39 +0000 2018,0.738,0.262,0.0,Texas backs school that expelled girl over pledge of allegiance https://t.co/aPd6NzUJGa,97
@BBCWorld,0.34,Wed Sep 26 15:38:07 +0000 2018,0.888,0.0,0.112,"RT @BBCNews: Sanctions on North Korea ""must be strictly enforced by all"" - Theresa May addresses the UN Security Council

https://t.co/lbjL…",98
@BBCWorld,-0.9169,Wed Sep 26 15:02:46 +0000 2018,0.52,0.48,0.0,RT @danroan: FA child sex abuse inquiry: indefinite delay to independent review into FA’s gravest ever crisis https://t.co/bDZSrE09P3,99
@BBCWorld,-0.34,Wed Sep 26 14:58:51 +0000 2018,0.714,0.286,0.0,Trump accuses China of poll interference https://t.co/jQA5sLH5qH,100
@CBSNews,0.0,Thu Sep 27 21:20:07 +0000 2018,1.0,0.0,0.0,"""What do you consider too many beers?"" Prosecutor Rachel Mitchell asks.
""You know -- whatever the chart says."" Bret… https://t.co/n4bim2H8eQ",1
@CBSNews,0.0854,Thu Sep 27 21:18:52 +0000 2018,0.829,0.079,0.092,"RT @CBSEveningNews: Sen. John Cornyn (R-TX): ""You are not guilty because somebody makes an accusation against you in this country. We are n…",2
@CBSNews,0.0,Thu Sep 27 21:14:03 +0000 2018,1.0,0.0,0.0,"Sen. Amy Klobuchar asks Brett Kavanaugh if he has ever blacked out from drinking, and he turns the question back on… https://t.co/ncU6jdwlSk",3
@CBSNews,-0.7245,Thu Sep 27 21:05:30 +0000 2018,0.758,0.242,0.0,"RT @CBSEveningNews: Sen. Cornyn: ""I can't think of a more embarrassing scandal for the Senate since the McCarthy hearings. When the comment…",4
@CBSNews,0.0,Thu Sep 27 21:02:15 +0000 2018,1.0,0.0,0.0,"Kavanaugh tells Congress, ""I'm never going to get my reputation back. My life is totally and permanently altered.""… https://t.co/ZRljkgnWni",5
@CBSNews,0.34,Thu Sep 27 20:59:45 +0000 2018,0.876,0.0,0.124,"Before Congress Thursday, Brett Kavanaugh continued his insistence that he is innocent of Dr. Blasey Ford's allegat… https://t.co/NO7ELC1KH0",6
@CBSNews,-0.7906,Thu Sep 27 20:54:58 +0000 2018,0.625,0.312,0.062,Sen. Lindsey Graham launches into furious defense of Kavanaugh and condemnation of how Democrats handled the allega… https://t.co/vEaRSBG2Rs,7
@CBSNews,0.128,Thu Sep 27 20:49:07 +0000 2018,0.69,0.126,0.184,"""I am innocent. I'm innocent of the charge.""

Brett Kavanaugh and Sen. Dick Durbin get into heated exchange about w… https://t.co/BCt197TX9Y",8
@CBSNews,-0.1531,Thu Sep 27 20:40:39 +0000 2018,0.698,0.143,0.159,"Kavanaugh says crude jokes on his yearbook page were a ""farce"" agreed upon by students and editors: ""If we wanted t… https://t.co/66XsPaDi8X",9
@CBSNews,0.128,Thu Sep 27 20:39:11 +0000 2018,0.786,0.096,0.118,"Sen. Patrick Leahy: ""Are you Bart O'Kavanaugh, that he’s referring to? Yes or no. That’s it.""

Brett Kavanaugh: ""Yo… https://t.co/ivaKO974am",10
@CBSNews,-0.4767,Thu Sep 27 20:25:32 +0000 2018,0.83,0.17,0.0,"Donald Trump Jr. mocks Christine Blasey Ford over her ""selective fear of flying"": ""Can’t do it to testify but for v… https://t.co/n1b518APF1",11
@CBSNews,0.3182,Thu Sep 27 20:20:00 +0000 2018,0.887,0.0,0.113,Brett Kavanuagh breaks down while talking about how his 10-year-old daughter wanted to pray for Dr. Blasey Ford.… https://t.co/by3kmiNorO,12
@CBSNews,-0.6124,Thu Sep 27 20:11:27 +0000 2018,0.63,0.264,0.106,"Kavanaugh says the accusation from Julie Swetnick about parties involving gang rape is ""a joke.""

""That is a farce.… https://t.co/8oKeGGw10k",13
@CBSNews,0.0,Thu Sep 27 20:11:11 +0000 2018,1.0,0.0,0.0,"Rachel Mitchell: “What do you consider to be too many beers?” 

Brett Kavanaugh: “I don't know. Whatever the chart… https://t.co/gE0YNEanyg",14
@CBSNews,0.0,Thu Sep 27 20:06:51 +0000 2018,1.0,0.0,0.0,Kavanaugh says he would participate in an FBI investigation if the committee pursues one and tells Sen. Dianne Fein… https://t.co/CErhTvCcZ5,15
@CBSNews,-0.4939,Thu Sep 27 20:04:17 +0000 2018,0.824,0.176,0.0,"""This confirmation process has become a national disgrace ... A Democratic senator on this committee publicly refer… https://t.co/eVYzrvyjH6",16
@CBSNews,0.0,Thu Sep 27 20:04:00 +0000 2018,1.0,0.0,0.0,RT @CBSThisMorning: CBS News has learned that Dr. Blasey Ford is not watching Kavanaugh's testimony #KavanaughHearings https://t.co/wfD6gbX…,17
@CBSNews,0.4019,Thu Sep 27 20:02:03 +0000 2018,0.821,0.0,0.179,"RT @CBSEveningNews: Brett Kavanaugh: ""When I accepted the president's nomination, Ashley and I knew this process would be challenging. We n…",18
@CBSNews,-0.6369,Thu Sep 27 20:01:17 +0000 2018,0.754,0.246,0.0,"“My family and I intend no ill will toward Dr. Ford or her family. But, I swear today under oath before the Senate… https://t.co/8plUTQXHpq",19
@CBSNews,-0.4588,Thu Sep 27 19:59:20 +0000 2018,0.875,0.125,0.0,"Kavanaugh says the way his allegation was handled abandoned fairness and due process. ""I ask you to judge me by the… https://t.co/PhGSiBIYI2",20
@CBSNews,0.4767,Thu Sep 27 19:51:05 +0000 2018,0.866,0.0,0.134,"RT @CBSEveningNews: Brett Kavanaugh: ""I drank beer with my friends. Almost everyone did. Sometimes I had too many beers. Sometimes others d…",21
@CBSNews,-0.4215,Thu Sep 27 19:49:32 +0000 2018,0.877,0.123,0.0,"Kavanaugh says he didn't have sex until years after high school and sometimes felt insecure about it. ""In some crow… https://t.co/RIgvE3K1Bp",22
@CBSNews,0.0,Thu Sep 27 19:45:42 +0000 2018,1.0,0.0,0.0,"Brett Kavanaugh addresses why church was not listed on his calendars in the '80s, saying “Going to church on Sunday… https://t.co/qomBnp7Z3g",23
@CBSNews,0.0,Thu Sep 27 19:44:13 +0000 2018,1.0,0.0,0.0,"Kavanaugh says that, from his youth to today, he has ""always had a lot of close female friends""… https://t.co/rBJm80Upk5",24
@CBSNews,0.5859,Thu Sep 27 19:38:25 +0000 2018,0.798,0.0,0.202,Kavanaugh gets emotional and takes time to collect himself while saying he was inspired by his father's habit of ke… https://t.co/Nd7msz6iA8,25
@CBSNews,0.4019,Thu Sep 27 19:32:45 +0000 2018,0.891,0.0,0.109,"Kavanaugh: ""All of the people identified by Dr. Ford as being present at the party have said they do not remember a… https://t.co/YGGcvuw57J",26
@CBSNews,0.4168,Thu Sep 27 19:31:14 +0000 2018,0.883,0.0,0.117,"RT @CBSEveningNews: ""I'm here today to tell the truth,"" Brett Kavanaugh says. ""I have never sexually assaulted anyone, not in high school,…",27
@CBSNews,0.1779,Thu Sep 27 19:29:56 +0000 2018,0.922,0.0,0.078,"RT @CBSEveningNews: Kavanaugh: ""This is a circus. The consequences will extend long past my nomination. The consequences will be with us fo…",28
@CBSNews,-0.8689,Thu Sep 27 19:29:01 +0000 2018,0.683,0.317,0.0,“A Democratic senator on this committee publicly referred to me as evil. Evil. Think about that word. And said that… https://t.co/6B3fHxD28o,29
@CBSNews,-0.128,Thu Sep 27 19:27:58 +0000 2018,0.744,0.14,0.116,"Kavanaugh chokes up recalling how his 10-year-old daughter showed sympathy toward Dr. Blasey Ford the other night,… https://t.co/qPx7eXuBYr",30
@CBSNews,-0.6369,Thu Sep 27 19:23:57 +0000 2018,0.776,0.224,0.0,"Brett Kavanaugh warns about ""consequences"" that will be felt for decades after the handling of the sexual assault a… https://t.co/BOrzY8ju0s",31
@CBSNews,0.0,Thu Sep 27 19:20:29 +0000 2018,1.0,0.0,0.0,"In stark contrast to her demeanor before the break, prosecutor Rachel Mitchell turned up the heat on Dr. Blasey For… https://t.co/LfBqzOCOQA",32
